estatus	categoría	English
líder	dirigente	English
market failures	fallos de mercado	
dossier	expediente	French
monitoring of the implementation	seguimiento de la implementación	
comité	comisión	French
dumping	competencia desleal	English
copyright	derechos de autor	English
ex post	retorno de la inversión	
récord	mejor marca	English
big bang	gran explosión	
stock	existencias	English
feed back	retroalimentación	
financial stability	estabilidad financiera	
screening	cribado	English
hot spots	puntos calientes	
estándar	norma	English
hobby	afición	English
best practice	buenas prácticas	
mainstreaming	transversalización	
bottom-up	abajo arriba	
timing	calendario	English
baby	pequeña	English
lifting	levantamiento de medidas	English
new look	nueva imagen	
hooligans	fanáticos violentos	
tour operators	agencias de viajes	
show	espectáculo	English
core business	negocio principal	
activity based management	gestión basada en la actividad	
test	examen	English
lobbies	grupos de presión	English
policy mix	combinación de políticas	
stocks	existencias	English
green shipping conference	Conferencia sobre transporte marítimo ecológico	
business	negocio	English
software	programación	English
corporate governance	gobierno corporativo	
stakeholders society	sociedades de participación ciudadana	
split comitology	comitología partida	
on line	en línea	
capacity building	generación de capacidad	
smart sanctions	sanciones inteligentes	
club	agrupación	English
lobby	grupo de presión	English
boom	auge	English
hardware	componentes informáticos	English
software	programación	English
session news	boletín de sesión	
phasing out	reducción progresiva	
hushkits	dispositivos de silencio	
leasing	alquiler con opción de compra	English
bypass ratio	relación de derivación	
brand-new start	nuevo comienzo	
trading	transacciones bursátiles	English
black vengeance angels	ángeles de la venganza	
self regulation	autorregulación	
marketing	mercadotecnica	English
one man	un hombre	
one vote	un voto	
shopping list	lista de la compra	
pay as you go	de prepago	
fair trade	de comercio justo	
eslogan	lema	English
feedback	respuesta	English
an early bird catches the worm	el pájaro que madruga atrapa al gusano	
fuel	combustóleo	English
confort	comodidad	French
gap	brecha	English
relax	relajamiento	English
handicap	obstáculo	English
roaming	de itinerancia	English
tándem	pareja	English
gendarme	agente de policía	French
platform	platforma	
action	acción	English
know how	conocimiento	
impasse	punto muerto	French
think tank	laboratorios de ideas	
pizza-service without delivery	servicio de pizza sin reparto	
from stable to table	del establo a la mesa	
short sea port	puerto del mar	
one stop shop	de ventanilla única	
dosier	expediente	French
on the job training	capacitación en el trabajo	
míster	señor	English
crash programme	plan de choque	
set top box	receptor de señal de televisión	
cliché	estereotipo	French
gay	homosexuales	English
painful and hard work	trabajo duro	
doping	dopaje	English
doping	dopaje	English
chef de mission	líder de la delegación	
adagio	lema	Italian
buró	órgano de dirección	French
carné	acreditación	French
puzzle	rompecabezas	English
cóctel	bomba	English
benchmarking	análisis comparativo	
score board	resultados	
ballotage	segunda vuelta	
flag of convenience	bandera de conveniencia	
acquis	acervo comunitario	
public private partnership	de colaboración público privada	
hip	molonas	English
cool	guays	English
score board	tablero de resultados	
performance reserve	reserva de eficacia	
learning by doing	aprender haciendo	
road pricing	tarificación de rutas	
single payment area	zona única de pagos	
round table	mesa redonda	
smoking gun	prueba irrefutable	
end of live vehiculs	vehículos al final de su vida útil	
black boxes	cajas negras	
light	bajos en nicotina	English
madame	señora	French
droit de suite	derecho de participación	
fair play	juego limpio	
dumping	competencia desleal	English
antidumping	anti competencia desleal	English
maillot	camiseta	French
bonus	prima	English
bonus	prima	English
bonus	prima	English
hackers	piratas informáticos	English
online	en línea	English
bistec	filete	English
tampón	caching	French
striptease	desnudo	English
ranking	clasificación	English
ring	cuadrilátero	English
chat room	canal de mensajería instantánea	
call back	retrollamada	
naming and shaming	nombrar y avergonzar	
versus	contra	English
teenager	adolescentes	English
pub	bar	English
aquaplaning	hidroplaneo	English
chófer	conductor	French
chofer	conductor	French
fast track	de vía rápida	
stand by	modo de espera	
hooligan	fanáticos	English
spamming	correo basura	
spammer	remitentes de correo basura	English
opt-in	opción de suscribirse	
opt-out	darse de baja	
spam	correos basura	English
bloc noir	bloque negro	
premier	primer ministro	French
shock	conmoción	English
trust	grupo de empresas	English
bridge	ir demasiado lejos	English
cowboy	vaqueros	English
convoy	caravana	English
majors	grandes estudios	English
on line	en línea	
e in tempo	y a tiempo	
stress	estrés	English
convergence	convergencia	
share fishermen	pescadores autónomos	
check and balance	controles y equilibrios	
mail	correo electrónico	English
capacity building	aumento de capacidad	
blue box	caja azul	
green box	caja verde	
kamikaze	suicida	Japanese
glamour	atractivo	English
made in	hechas en	English
brainstorming	tormenta de ideas	English
low cost carrier	aerolínea de bajo coste	
single audits	auditorias únicas	
on the spot	en el acto	
free riders	polizones	
drafting sessions	sesiones de redacción	
think tank	laboratorio de ideas	
workshop	seminario	English
bistró	taberna	French
cookies	galletas digitales	English
cookies	galletas	English
chequear	consultar	English
complot	conspiración	French
crack	crisis	English
máster	posgrado	English
input	datos de entrada	English
kit	botiquín	English
cómic	tebeo	English
charter	chárter	English
amateur	aficionado	French
póster	mural	English
yonqui	drogradicto	English
catering	servicio de comidas	English
sándwich	bocadillo	English
bulevar	avenida	French
ballet	danza	French
casete	cinta	French
tsunami	maremoto	English
spray	aerosol	English
antidúmping	anti competencia desleal	
bobsleigh	bobsled	English
influenza	gripe	Italian
mitin	encuentro	English
revólver	pistola	English
argot	jerga	French
gángster	mafioso	English
pull	de tracción	English
push	empuje	English
fine tuning	operaciones de ajuste	
tory	conservador	English
comodoro	capitán de navío	English
permafrost	permahielo	English
bufete	despacho	French
streaming	retransmisión por internet	English
zombi	muerto viviente	English
tabloide	prensa sensacionalista	English
tabloide	prensa sensacionalista	English
emails	correos electrónicos	English
jets	aviones	English
spa	balenario	English
jet society	élite	
premium	de pago	English
esprint	empujón	English
hiyab	velo islámico	Arabic
debut	estreno	French
neocon	neoconservadoras	English
phishing	ciberestafas	English
banners	báners	English
in crescendo	al alza	
link	enlace	English
folclore	tradición	English
flirtear	coquetear	English
hándicap	incapacidad	English
magneto	imán	English
kiosco	kiosko	French
freelance	autónomos	English
bad banks	bancos malos	
ticket	vale	English
blogger	bloguero	English
blogger	bloguero	English
pivotar	oscilar	French
coaching	asesoramiento	English
autostop	dedo	French
spyware	programa espía	English
vendetta	venganza	Italian
lady	señora	English
fan	aficionado	English
polis	ciudadanía	Ancient Greek
remote islands	islas lejanas	
step by step	paso a paso	
bobbies	policías	English
manager	encargado	English
gag	censura	English
camping	acampada	English
outsourcing	externalización	English
places prosperity	bienestar de los lugares	
peoples prosperity	bienestar de las personas	
display	pantalla	English
best seller	superventas	English
jeep	todoterreno	English
foyer	vestíbulo	French
momentum	impulso	English
momentum	impulso	English
fast track	vía rápida	
film	película	English
health claims	reclamos sanitarios	
free standing agreement	acuerdo independiente	
forfait	bono	French
sketch	número cómico	English
flash	fotografía	English
working paper	documento de trabajo	
safety series	normas de seguridad	
hard feeling	resentimiento	
cash flow	flujos de caja	
affaire	caso	French
slip of the tongue	desliz	
highlight	éxito	English
millenium bug	efecto 2000	
derbi	enfrentamiento	English
pole position	primera posición	
jogging	aerobismo	English
offline	analógico	English
profiling	elaboración de un perfil	
popurrí	batiburrillo	French
bestseller	superventas	English
lobbies	grupos de presión	English
