pair_id,loanword_example,native_example,loanword_wer,native_wer,wer_difference,loanword_transcript,native_transcript
es_000,estatus,categoría,0.68,0.44,0.24000000000000005,"Como usted sabe, a una parte importante de Gales se le ha dado el menor que el 1 mayor que está tus menor que por litro 1 mayor que de objetivo y dentro del programa. De los fondos estructurales.","Como usted sabe, a una parte importante de Gales se le ha dado la menor que N1 mayor que categoría menor que N1 mayor que de objetivo y dentro del programa de los fondos estructurales."
es_001,líder,dirigente,0.5476190476190477,0.47619047619047616,0.07142857142857151,"Dejenme recordarle también que cuando el menor que él e uno mayor que líder menor que por litro uno mayor que de su partido. El señor Hague, fue secretario de Estado Paragales violó todos los artículo","Dejenme recordarle también que cuando el menor que N1 mayor que dirigente menor que, N1 mayor que de su partido. El señor Hague, fue secretario de Estado Paragales violó todos los artículos del libro "
es_002,market failures,fallos de mercado,0.9333333333333333,0.9347826086956522,-0.0014492753623188692,"En este sentido, los que hablan francés seguro que le dirán a la UMNOR que él e uno mayor que cude chapea o menor que por litro, uno mayor que. Es decir, me quito el sombrero.","En este sentido, los que hablan francés seguro que le dirán a la UMNOR que N1 mayor que QdXP-N1 mayor que, es decir, me quito el sombrero."
es_003,dossier,expediente,1.0,1.0,0.0,"La mayoría de ellas traducen de hecho las diferencias políticas que existen entre nosotros respecto. A la oportunidad y a la eficacia de las ayudas estatales. Habida cuenta de las insuficiencias, reco",La mayoría de ellas traducen de hecho las diferencias políticas que existen entre nosotros respecto. A la oportunidad y a la eficacia de las ayudas estatales. Habida cuenta de las insuficiencias. Reco
es_004,monitoring of the implementation,seguimiento de la implementación,1.0,1.0,0.0,"Quiero agradecer personal y profundamente al señor Phon Woghau, el empeño con que ha examinado él. Menorque él e uno mayor que docier menor que por litro, uno mayor que relativo al libro blanco y la c","Quiero agradecer personal y profundamente al señor Phon Woghau, el empeño con que ha examinado él. Menor que N1 mayor que expediente menor que N1 mayor que relativo al libro blanco y la calidad de su "
es_005,comité,comisión,1.0,1.0,0.0,"Al respecto, quisiera dedicar algunas palabras a la idea. Que me parece excelente. Expuesta por lo ser. Reese Jorgonson y Hone. Es decir, la idea del menor que él e uno mayor que monitoring of the imp",al respecto quisiera dedicar algunas palabras a la idea que me parece excelente expuesta por lo ser Reese Jorgonson y Hon es decir la idea del menor que N1 mayor que seguimiento de la implementación m
es_006,dumping,competencia desleal,1.0,1.0,0.0,El menor que el 1 mayor que comité menor que por litro 1 mayor que de control que ya existe solo puede controlar la independencia del director de la oficina.,"La menor que N1 mayor que comisión menor que, N1 mayor que de control que ya existe solo puede controlar la independencia del director de la oficina."
es_007,copyright,derechos de autor,1.0,1.0,0.0,"A mi juicio, la ayuda estatal y legal equivale a poco más que un menor que él e uno mayor que dumping menor que por litro uno mayor que social patrocinado por él. Estado.","A mi juicio, la ayuda estatal y legal equivale a poco más que una menor que N1 mayor que competencia desleal menor que N1 mayor que social patrocinada. Por el Estado."
es_008,ex post,retorno de la inversión,1.0,0.9655172413793104,0.03448275862068961,Tampoco es admisible que una institución pública posea el menor que él e uno mayor que copyright menor que por litro uno mayor que de documentos públicos.,Tampoco es admisible que una institución pública posea los menor que N1 mayor que derechos de autor menor que N1 mayor que de documentos. Públicos.
es_009,récord,mejor marca,1.0,1.0,0.0,"falta de responsabilidad, demasiado menor que el 1 mayor que ex ante menor que el 1 mayor que muy poca menor que el 2 mayor que ex post menor que por litro 2 mayor que idea y surge una cultura basada ","falta de responsabilidad, demasiado menor que N1 mayor que previsión de resultados menor que, N1 mayor que, muy poco menor que N2 mayor que retorno de la inversión menor que, N2 mayor que y de AIS sur"
es_010,big bang,gran explosión,1.0,1.0,0.0,"No se sivate el menor que l1 mayor que récord menor que por litro, 1 mayor que de todas las resoluciones presentadas aquí pero. Desde luego, de este tipo de resoluciones sin lugar a dudas.","No se sivate la menor que N1 mayor que mejor marca menor que, N1 mayor que de todas las resoluciones presentadas aquí pero. Desde luego, de este tipo de resoluciones sin lugar a dudas."
es_011,stock,existencias,0.9824561403508771,0.9649122807017544,0.01754385964912275,También puedo asegurar específicamente a la asamblea que no buscamos lo que algunas veces se. Denomina una aproximación de menor que L1 mayor que Big Bang menor que por litro 1 mayor que.,También puedo asegurar específicamente a la asamblea que no buscamos lo que algunas veces se. Denomina una aproximación de menor que N1 mayor que gran explosión menor que N1 mayor que.
es_012,feed back,retroalimentación,1.0,1.0,0.0,"Asunto, propuesta de reglamento en el que se fijan los totales admisibles de capturas de determinadas. Poblaciones de peces para el año 2000, caso concreto de la ANCHOA, según los últimos informes del","Asunto, propuesta de reglamento en el que se fijan los totales admisibles de capturas de determinadas. Poblaciones de peces para el año 2000, caso concreto del anchoa, según los últimos informes del C"
es_013,financial stability,estabilidad financiera,1.0,1.0,0.0,"Si mediante instrumentos similares al impuesto towin dificultá hacemos el funcionamiento de este. Mecanismo, menor que l1 mayor que feedback menor que por litro 1 mayor que, de interconexión. El cual ","Si mediante instrumentos similares al impuesto towin dificultá hacemos el funcionamiento de este. Mecanismo, menor que N1 mayor que retroalimentación menor que, N1 mayor que, de interconexión, el cual"
es_014,screening,cribado,1.0,1.0,0.0,"Si incluimos también el sector privado, constataremos que esta famosa menor que el 1 mayor que financial stability menor que por litro 1 mayor que no solo no sea logrado. Sino que además, muy probable","Si incluimos también el sector privado, constataremos que esta famosa menor que N1 mayor que esta habilidad financiera menor que N1 mayor que no solo no sea logrado. Sino que además, muy probablemente"
es_015,hot spots,puntos calientes,1.0,1.0,0.0,No tiene ningún sentido para cualquier trabajador del ámbito Schengen. Pues ya ha sufrido un menor que el 1 mayor que screening menor que por litro 1 mayor que para entrar en el primer estado miembro.,No tiene ningún sentido para cualquier trabajador del ámbito Schengen. Pues ya ha sufrido un menor que N1 mayor que cribado menor que N1 mayor que para entrar en el primer estado miembro. Y el segundo
es_016,estándar,norma,1.0,1.0,0.0,para lograr que el 50% o más de la combinación energética proceda de las fuentes de energías. Renovables. No podemos contentarnos con ciertos menor que L1 mayor que hotspots menor que por litro uno ma,"para lograr que el 50% o más de la combinación energética proceda de las fuentes de energías. Renovables, no podemos contentarnos con ciertos menor que N1 mayor que puntos calientes menor que, N1 mayo"
es_017,hobby,afición,1.0,1.0,0.0,"Por ello, me gustaría recomendar a los miembros de este Parlamento que a pesar de su afiliación política. Boten en contra de las enmiendas presentadas a la posición común que debilitarán él. Menor que","Por ello, me gustaría recomendar a los miembros de este Parlamento que, a pesar de su afiliación política, voten en contra de las enmiendas presentadas a la posición común que debilitarán la menor que"
es_018,best practice,buenas prácticas,1.0,1.0,0.0,"Permítanme comentar, escuchen bien lo que les voy a decir. Puesto que esto se ha repetido en el debate, el asunto de los coches antiguos y de menor que el 1 mayor que jovi menor que por litro 1 mayor ","Permítanme comentar, escuchen bien lo que les voy a decir. Puesto que esto se ha repetido en el debate, el asunto de los coches antiguos y de. Menorque N1 mayor que a fision menor que, N1 mayor que al"
es_019,bottom-up,abajo arriba,0.9534883720930233,0.9090909090909091,0.044397463002114224,"Esta resolución común, PPED, EPS, EGRA, plau de la iniciativa de los 14 estados miembros para. Precionara Austria organizando una especie de menor que L1 mayor que boicot menor que por litro 1 mayor q",Esta resolución como un PPE de EPS se graplau de la iniciativa de los 14 estados miembros para. Presionar a Austria organizando una especie de menor que N1 mayor que boicot menor que N1 mayor que dipl
es_020,timing,calendario,1.0,1.0,0.0,Se pone también un énfasis especial en la difusión de los resultados y en el aprendizaje mutuo. Mediante la menor que l1 mayor que best practice menor que por litro 1 mayor que y el menor que l2 mayor,Se pone también un énfasis especial en la difusión de los resultados y en el aprendizaje mutuo. Mediante menor que N1 mayor que buenas prácticas menor que N1 mayor que y la menor que N2 mayor que tran
es_021,baby,pequeña,0.9701492537313433,0.9701492537313433,0.0,"Puesto que el programa leader es algo así como un taller con un concepto de menor que el 1 mayor que bottom up menor que por litro 1 mayor que. En los pasados años han ha sido mediante leader E, y lea","Puesto que el programa leader es algo así como un taller con un concepto de menor que N1 mayor que abajo arriba menor que N1 mayor que. En los pasados años han ha sido mediante leader E, y leader dos "
es_022,lifting,levantamiento de medidas,1.0,1.0,0.0,"Sin embargo, he llegado a la conclusión de que el menor que l1 mayor que timin menor que por litro 1 mayor que ha sido, de hecho, muy acertado.","Sin embargo, he llegado a la conclusión de que el menor que N1 mayor que calendario menor que, N1 mayor que ha sido. De hecho, muy acertado."
es_023,new look,nueva imagen,1.0,1.0,0.0,"La cuestión tiene mucha importancia y yo quisiera saber, porque puede hablarse de menor que él e uno mayor que Baby menor que por litro, uno mayor que estafa. Si el señor comisario velará porque estos","La cuestión tiene mucha importancia y yo quisiera saber, porque puede hablarse de menor que N1 mayor que pequeña menor que N1 mayor que estafa. Si el señor comisario velará porque estos fondos no se s"
